[2025-05-13 18:04:08] Starting UE client to RRH (10.0.0.100)
   [2025-05-13 18:07:05] Previous Value: 174, New Value: 175, vBBU: vbbu1
   [2025-05-13 18:07:06] Previous Value: 175, New Value: 176, vBBU: vbbu1
   [2025-05-13 18:07:07] Previous Value: 176, New Value: 177, vBBU: vbbu1
   [2025-05-13 18:07:08] Previous Value: 177, New Value: 178, vBBU: vbbu1
   [2025-05-13 18:07:09] Previous Value: 178, New Value: 179, vBBU: vbbu1
   [2025-05-13 18:07:10] Previous Value: 179, New Value: 180, vBBU: vbbu1
   [2025-05-13 18:07:11] Previous Value: 180, New Value: 181, vBBU: vbbu1
   [2025-05-13 18:07:12] Previous Value: 181, New Value: 182, vBBU: vbbu1
   [2025-05-13 18:07:13] Previous Value: 182, New Value: 183, vBBU: vbbu1
   [2025-05-13 18:07:14] Previous Value: 183, New Value: 184, vBBU: vbbu1
   [2025-05-13 18:07:15] Previous Value: 184, New Value: 185, vBBU: vbbu1
   [2025-05-13 18:07:16] Previous Value: 185, New Value: 186, vBBU: vbbu1
   [2025-05-13 18:07:17] Previous Value: 186, New Value: 187, vBBU: vbbu1
   [2025-05-13 18:07:18] Previous Value: 187, New Value: 188, vBBU: vbbu1
   [2025-05-13 18:07:19] Previous Value: 188, New Value: 189, vBBU: vbbu1
   [2025-05-13 18:07:20] Previous Value: 189, New Value: 190, vBBU: vbbu1
   [2025-05-13 18:07:21] Previous Value: 190, New Value: 191, vBBU: vbbu1
   [2025-05-13 18:07:22] Previous Value: 191, New Value: 192, vBBU: vbbu1
   [2025-05-13 18:07:23] Previous Value: 192, New Value: 193, vBBU: vbbu1
   [2025-05-13 18:07:24] Previous Value: 193, New Value: 194, vBBU: vbbu1
   [2025-05-13 18:07:25] Previous Value: 194, New Value: 195, vBBU: vbbu1
   [2025-05-13 18:07:26] Previous Value: 195, New Value: 196, vBBU: vbbu1
   [2025-05-13 18:07:27] Previous Value: 196, New Value: 197, vBBU: vbbu1
   [2025-05-13 18:07:28] Previous Value: 197, New Value: 198, vBBU: vbbu1
   [2025-05-13 18:07:29] Previous Value: 198, New Value: 199, vBBU: vbbu1
   [2025-05-13 18:07:30] Previous Value: 199, New Value: 200, vBBU: vbbu1
   [2025-05-13 18:07:31] Previous Value: 200, New Value: 201, vBBU: vbbu1
   [2025-05-13 18:07:32] Previous Value: 201, New Value: 202, vBBU: vbbu1
   [2025-05-13 18:07:33] Previous Value: 202, New Value: 203, vBBU: vbbu1
   [2025-05-13 18:07:34] Previous Value: 203, New Value: 204, vBBU: vbbu1
   [2025-05-13 18:07:36] Previous Value: 204, New Value: 205, vBBU: vbbu1
   [2025-05-13 18:07:37] Previous Value: 205, New Value: 206, vBBU: vbbu1
   [2025-05-13 18:07:38] Previous Value: 206, New Value: 207, vBBU: vbbu1
   [2025-05-13 18:07:39] Previous Value: 207, New Value: 208, vBBU: vbbu1
   [2025-05-13 18:07:40] Previous Value: 208, New Value: 209, vBBU: vbbu1
   [2025-05-13 18:07:41] Previous Value: 209, New Value: 210, vBBU: vbbu1
   [2025-05-13 18:07:42] Previous Value: 210, New Value: 211, vBBU: vbbu1
   [2025-05-13 18:07:43] Previous Value: 211, New Value: 212, vBBU: vbbu1
   [2025-05-13 18:07:44] Previous Value: 212, New Value: 213, vBBU: vbbu1
   [2025-05-13 18:07:45] Previous Value: 213, New Value: 214, vBBU: vbbu1
